t,PvAvailP
0,131
1,128
2,126
3,124
4,129
5,132
6,131
7,127
8,129
9,131
10,124
11,132
12,128
13,132
14,131
15,129
16,129
17,125
18,127
19,130
20,127
21,130
22,128
23,128
24,131
25,128
26,132
27,125
28,130
29,131
30,130
31,129
32,130
33,132
34,127
35,127
36,129
37,132
38,129
39,128
40,130
41,129
42,125
43,127
44,130
45,130
46,131
47,126
48,126
49,128
50,129
51,125
52,131
53,131
54,130
55,126
56,124
57,124
58,128
59,125
60,128
61,129
62,130
63,124
64,127
65,128
66,129
67,129
68,128
69,132
70,131
71,127
72,125
73,125
74,129
75,125
76,127
77,127
78,126
79,127
80,129
81,126
82,131
83,128
84,131
85,127
86,131
87,128
88,126
89,129
90,130
91,128
92,132
93,129
94,126
95,130
96,132
97,128
98,129
99,125
100,124
101,132
102,125
103,127
104,126
105,131
106,131
107,127
108,131
109,125
110,129
111,127
112,128
113,131
114,131
115,131
116,130
117,126
118,131
119,132
120,131
121,127
122,126
123,129
124,127
125,125
126,128
127,127
128,131
129,127
130,125
131,129
132,126
133,126
134,130
135,127
136,128
137,126
138,129
139,125
140,125
141,130
142,130
143,126
144,131
145,128
146,130
147,129
148,130
149,129
150,131
151,125
152,132
153,132
154,131
155,126
156,127
157,126
158,127
159,125
160,131
161,126
162,127
163,129
164,131
165,126
166,131
167,127
168,127
169,129
170,125
171,132
172,130
173,125
174,128
175,132
176,132
177,130
178,125
179,127
180,126
181,129
182,129
183,126
184,127
185,132
186,127
187,125
188,131
189,129
190,129
191,128
192,127
193,125
194,129
195,129
196,129
197,127
198,130
199,125
200,126
201,132
202,129
203,130
204,131
205,126
206,129
207,129
208,125
209,131
210,132
211,128
212,131
213,130
214,125
215,131
216,126
217,131
218,126
219,131
220,126
221,130
222,128
223,130
224,129
225,126
226,126
227,126
228,129
229,126
230,126
231,125
232,126
233,129
234,127
235,131
236,126
237,128
238,130
239,127
240,126
241,131
242,127
243,132
244,127
245,126
246,125
247,127
248,130
249,128
250,129
251,125
252,126
253,127
254,126
255,132
256,130
257,131
258,126
259,130
260,128
261,128
262,125
263,131
264,132
265,129
266,128
267,131
268,128
269,125
270,126
271,127
272,126
273,132
274,128
275,129
276,125
277,132
278,132
279,127
280,127
281,128
282,127
283,125
284,127
285,132
286,128
287,129
288,127
289,130
290,125
291,129
292,126
293,127
294,128
295,132
296,124
297,130
298,126
299,128
300,131
301,126
302,128
303,125
304,128
305,125
306,130
307,128
308,131
309,125
310,127
311,127
312,131
313,129
314,130
315,131
316,128
317,130
318,130
319,128
320,131
321,132
322,127
323,125
324,132
325,127
326,125
327,131
328,126
329,131
330,127
331,128
332,127
333,129
334,127
335,130
336,128
337,129
338,128
339,125
340,125
341,129
342,126
343,129
344,126
345,130
346,127
347,131
348,127
349,127
350,125
351,128
352,128
353,128
354,128
355,130
356,130
357,125
358,125
359,129
360,129
361,128
362,130
363,130
364,129
365,129
366,130
367,127
368,125
369,130
370,130
371,126
372,125
373,132
374,126
375,128
376,131
377,125
378,127
379,130
380,127
381,131
382,125
383,127
384,131
385,128
386,128
387,130
388,130
389,130
390,125
391,125
392,131
393,124
394,131
395,130
396,125
397,130
398,125
399,127
400,132
401,132
402,131
403,124
404,128
405,131
406,129
407,129
408,125
409,130
410,132
411,126
412,124
413,127
414,130
415,125
416,125
417,126
418,125
419,131
420,131
421,131
422,127
423,130
424,125
425,126
426,126
427,129
428,130
429,126
430,131
431,127
432,127
433,126
434,131
435,126
436,130
437,124
438,131
439,131
440,128
441,131
442,128
443,132
444,126
445,132
446,131
