t,LoadP
14/10/2012 14:24:59.000,244.21875
14/10/2012 14:25:00.000,242.5
14/10/2012 14:25:01.000,242.5
14/10/2012 14:25:02.000,241.71875
14/10/2012 14:25:03.000,241.71875
14/10/2012 14:25:04.000,241.25
14/10/2012 14:25:05.000,244.6875
14/10/2012 14:25:06.000,244.6875
14/10/2012 14:25:07.000,244.6875
14/10/2012 14:25:08.000,242.5
14/10/2012 14:25:09.000,243.75
14/10/2012 14:25:10.000,243.75
14/10/2012 14:25:11.000,244.21875
14/10/2012 14:25:12.000,244.21875
14/10/2012 14:25:13.000,246.71875
14/10/2012 14:25:14.000,246.71875
14/10/2012 14:25:15.000,244.6875
14/10/2012 14:25:16.000,244.6875
14/10/2012 14:25:17.000,241.25
14/10/2012 14:25:18.000,242.96875
14/10/2012 14:25:19.000,242.96875
14/10/2012 14:25:20.000,243.28125
14/10/2012 14:25:21.000,243.28125
14/10/2012 14:25:22.000,243.75
14/10/2012 14:25:23.000,243.75
14/10/2012 14:25:24.000,242.96875
14/10/2012 14:25:25.000,242.5
14/10/2012 14:25:26.000,242.5
14/10/2012 14:25:27.000,243.28125
14/10/2012 14:25:28.000,243.28125
14/10/2012 14:25:29.000,243.75
14/10/2012 14:25:30.000,243.75
14/10/2012 14:25:31.000,245.9375
14/10/2012 14:25:32.000,245.9375
14/10/2012 14:25:33.000,247.96875
14/10/2012 14:25:34.000,249.375
14/10/2012 14:25:35.000,249.375
14/10/2012 14:25:36.000,249.375
14/10/2012 14:25:37.000,245.46875
14/10/2012 14:25:38.000,246.40625
14/10/2012 14:25:39.000,246.40625
14/10/2012 14:25:40.000,243.75
14/10/2012 14:25:41.000,242.5
14/10/2012 14:25:42.000,242.5
14/10/2012 14:25:43.000,242.5
14/10/2012 14:25:44.000,242.96875
14/10/2012 14:25:45.000,242.96875
14/10/2012 14:25:46.000,242.96875
14/10/2012 14:25:47.000,243.28125
14/10/2012 14:25:48.000,243.28125
14/10/2012 14:25:49.000,246.71875
14/10/2012 14:25:50.000,246.71875
14/10/2012 14:25:51.000,246.71875
14/10/2012 14:25:52.000,246.71875
14/10/2012 14:25:53.000,248.90625
14/10/2012 14:25:54.000,247.96875
14/10/2012 14:25:55.000,247.96875
14/10/2012 14:25:56.000,247.65625
14/10/2012 14:25:57.000,247.65625
14/10/2012 14:25:58.000,248.4375
14/10/2012 14:25:59.000,248.4375
14/10/2012 14:26:00.000,247.96875
14/10/2012 14:26:01.000,246.71875
14/10/2012 14:26:02.000,246.71875
14/10/2012 14:26:03.000,246.71875
14/10/2012 14:26:04.000,245.46875
14/10/2012 14:26:05.000,245
14/10/2012 14:26:06.000,245
14/10/2012 14:26:07.000,246.71875
14/10/2012 14:26:08.000,247.1875
14/10/2012 14:26:09.000,247.1875
14/10/2012 14:26:10.000,247.1875
14/10/2012 14:26:11.000,245.9375
14/10/2012 14:26:12.000,246.40625
14/10/2012 14:26:13.000,246.40625
14/10/2012 14:26:14.000,244.21875
14/10/2012 14:26:15.000,244.21875
14/10/2012 14:26:16.000,243.75
14/10/2012 14:26:17.000,243.75
14/10/2012 14:26:18.000,244.21875
14/10/2012 14:26:19.000,244.21875
14/10/2012 14:26:20.000,244.21875
14/10/2012 14:26:21.000,245.46875
14/10/2012 14:26:22.000,245.46875
14/10/2012 14:26:23.000,245
14/10/2012 14:26:24.000,245
14/10/2012 14:26:25.000,244.21875
14/10/2012 14:26:26.000,244.21875
14/10/2012 14:26:27.000,245
14/10/2012 14:26:28.000,244.6875
14/10/2012 14:26:29.000,244.6875
14/10/2012 14:26:30.000,244.6875
14/10/2012 14:26:31.000,245.46875
14/10/2012 14:26:32.000,244.6875
14/10/2012 14:26:33.000,244.6875
14/10/2012 14:26:34.000,242.5
14/10/2012 14:26:35.000,241.25
14/10/2012 14:26:36.000,241.25
14/10/2012 14:26:37.000,241.25
14/10/2012 14:26:38.000,240.3125
14/10/2012 14:26:39.000,241.25
14/10/2012 14:26:40.000,241.25
14/10/2012 14:26:41.000,244.21875
14/10/2012 14:26:42.000,244.21875
14/10/2012 14:26:43.000,243.28125
14/10/2012 14:26:44.000,243.28125
14/10/2012 14:26:45.000,245
14/10/2012 14:26:46.000,244.6875
14/10/2012 14:26:47.000,244.6875
14/10/2012 14:26:48.000,241.71875
14/10/2012 14:26:49.000,241.71875
14/10/2012 14:26:50.000,241.71875
14/10/2012 14:26:51.000,241.71875
14/10/2012 14:26:52.000,242.5
14/10/2012 14:26:53.000,242.5
14/10/2012 14:26:54.000,242.5
14/10/2012 14:26:55.000,243.75
14/10/2012 14:26:56.000,243.75
14/10/2012 14:26:57.000,242.96875
14/10/2012 14:26:58.000,242.96875
14/10/2012 14:26:59.000,242.03125
14/10/2012 14:27:00.000,242.03125
14/10/2012 14:27:01.000,243.28125
14/10/2012 14:27:02.000,243.28125
14/10/2012 14:27:03.000,243.28125
14/10/2012 14:27:04.000,243.28125
14/10/2012 14:27:05.000,244.6875
14/10/2012 14:27:06.000,244.21875
14/10/2012 14:27:07.000,244.21875
14/10/2012 14:27:08.000,244.21875
14/10/2012 14:27:09.000,242.96875
14/10/2012 14:27:10.000,242.96875
14/10/2012 14:27:11.000,242.96875
14/10/2012 14:27:12.000,243.75
14/10/2012 14:27:13.000,243.75
14/10/2012 14:27:14.000,245
14/10/2012 14:27:15.000,243.75
14/10/2012 14:27:16.000,243.75
14/10/2012 14:27:17.000,245
14/10/2012 14:27:18.000,245
14/10/2012 14:27:19.000,245.46875
14/10/2012 14:27:20.000,245.46875
14/10/2012 14:27:21.000,247.1875
14/10/2012 14:27:22.000,246.40625
14/10/2012 14:27:23.000,246.40625
14/10/2012 14:27:24.000,246.40625
14/10/2012 14:27:25.000,246.40625
14/10/2012 14:27:26.000,247.65625
14/10/2012 14:27:27.000,247.65625
14/10/2012 14:27:28.000,247.96875
14/10/2012 14:27:29.000,247.96875
14/10/2012 14:27:30.000,247.65625
14/10/2012 14:27:31.000,249.6875
14/10/2012 14:27:32.000,249.6875
14/10/2012 14:27:33.000,250.15625
14/10/2012 14:27:34.000,250.15625
14/10/2012 14:27:35.000,249.6875
14/10/2012 14:27:36.000,249.6875
14/10/2012 14:27:37.000,248.4375
14/10/2012 14:27:38.000,247.65625
14/10/2012 14:27:39.000,247.65625
14/10/2012 14:27:40.000,247.65625
14/10/2012 14:27:41.000,247.96875
14/10/2012 14:27:42.000,247.65625
14/10/2012 14:27:43.000,247.65625
14/10/2012 14:27:44.000,247.1875
14/10/2012 14:27:45.000,247.1875
14/10/2012 14:27:46.000,247.65625
14/10/2012 14:27:47.000,245
14/10/2012 14:27:48.000,245
14/10/2012 14:27:49.000,245
14/10/2012 14:27:50.000,246.71875
14/10/2012 14:27:51.000,242.03125
14/10/2012 14:27:52.000,242.03125
14/10/2012 14:27:53.000,240.78125
14/10/2012 14:27:54.000,241.25
14/10/2012 14:27:55.000,241.25
14/10/2012 14:27:56.000,241.25
14/10/2012 14:27:57.000,241.71875
14/10/2012 14:27:58.000,243.28125
14/10/2012 14:27:59.000,243.28125
14/10/2012 14:28:00.000,243.75
14/10/2012 14:28:01.000,243.75
